# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Jackson Pond
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     1.0     0.0     1.0     3.0     0.0     2.0     0.0     3.0
     1.0    48.0     4.0 16180.0     1.0
175, , 3139
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     1.0     0.0     0.0
     0.0    29.0     5.0     0.0    75.0     0.0     0.0     1.0     0.0     0.0
    17.0     5.0     4.0     0.0     5.0     2.0     0.0     0.0     0.0    11.0
     0.0     0.0     6.0     4.0     0.0     6.5     0.0     0.0     2.0     2.0
   176.0    40.0     0.0     1.0     0.0     0.0     2.0     0.0     1.0    13.0
     3.0     0.0     0.0     8.0     0.0     0.0     0.0     0.0     6.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
    39.0     0.0     2.0     0.0     0.0     0.0    16.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     1.0     0.0     0.0     0.0     6.0
     0.0    31.0     3.0 16180.0     1.0
180, , 3898
     0.0     0.0     0.0     2.0     0.0     2.0     0.0     0.0     0.0     0.0
     1.0    10.0     6.0     0.0    39.0     0.0     0.0     1.0     0.0     0.0
    22.0     6.0     2.0     0.0     6.0     0.0     1.0     0.0     0.0     9.0
     0.0     0.0     4.0     7.0     2.0     8.0     0.0     0.0     1.0     0.0
   129.0    93.0     0.0     1.0     0.0     0.0     2.0     0.0     0.0     4.0
     8.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0     5.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
    13.0     0.0     1.0     0.0     0.0     0.0     8.0     0.0     0.0     2.0
     1.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     1.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0
     1.0     0.0     2.0     4.0     0.0     0.0     0.0     0.0     0.0     2.0
     1.0    14.0     2.0 16180.0     1.0
185, , 4656
     0.0     0.0     0.0     2.0     0.0     2.0     0.0     2.0     0.0     0.0
     0.0    14.0    11.0     0.0    75.0     0.0     0.0     0.0     0.0     0.0
    22.0     1.0     2.0     0.0     3.0     0.0     0.0     0.0     0.0     5.0
     0.0     0.0     1.0     3.0     1.5     1.0     0.0     0.0     2.0     0.0
   151.0    86.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     1.0
     0.0     0.0     0.0     4.0     0.0     0.0     0.0     0.0     4.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
    18.0     0.0     1.0     0.0     0.0     1.0     9.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
