     0.0     1.0     1.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     3.0     2.0     2.0     1.0
   222.0
510, , 5181
     0.0     1.0     1.0     0.0    12.0     1.0    12.0    52.0     0.0    11.0
     2.0     0.0     0.0     0.0     0.0     0.0     0.0    51.0     9.0    11.0
     3.0     0.0     3.0     0.0     0.0     0.0     0.0     0.0     2.0     5.0
     1.0     1.0     2.0    17.0     5.0     2.0   243.0     0.0     0.0     0.0
     0.0     0.0     1.0     0.0    51.0    10.0     0.0     1.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0
     4.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     7.0    11.0
     2.0     1.0     0.0     0.0     0.0     2.0     4.0     0.0     1.0     0.0
     0.0     1.0     0.0     0.0     0.0     1.0     6.0     4.0     1.0     0.0
   261.0
550, , 5532
     0.0     1.0     1.0     0.0     7.0     3.0    21.0    37.0     0.0    18.0
     1.0     0.0     1.0     0.0     1.0     2.0     0.0    66.0     7.0     8.0
     2.0     0.0     5.0     0.0     1.0     0.0     3.0     0.0     1.0     8.0
     1.0     3.0     2.0    17.0     9.0     1.0   223.0     0.0     1.0     1.0
     0.0     0.0     0.0     0.0    63.0    11.0     0.0     1.0     0.0     0.0
     5.0     0.0     0.0     0.0     1.0     8.0     0.0     0.0     0.0     0.0
     4.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     3.0     0.0     0.0     0.0     0.0     0.0     5.0     4.0
     0.0     1.0     0.0     0.0     0.0     0.0     6.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     3.0     5.0     2.0     1.0     1.0
   267.0
590, , 5862
     0.0     0.0     1.0     2.0     8.0     1.0    14.0    60.0     0.0     5.0
     1.0     0.0     1.0     0.0     0.0     3.0     0.0    66.0     3.0     6.0
     0.0     0.0     4.0     0.0     0.0     0.0     1.0     0.0     0.0    11.0
     1.0     2.0     0.0    24.0    13.0     0.0   162.0     0.0     0.0     0.0
     0.0     0.0     4.0     2.0    42.0     6.0     0.0     0.0     1.0     1.0
     3.0     0.0     0.0     0.0     0.0     9.0     0.0     0.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     1.0     0.0
     0.0     0.0     4.0     0.0     0.0     0.0     0.0     0.0     1.0     6.0
     0.0     2.0     0.0     0.0     0.0     1.0     2.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     4.0     6.0    13.0     0.0     1.0
   228.0
610, , 6021
     0.0     0.0     1.0     1.0    12.0     1.0    16.0    67.0     0.0    10.0
     1.0     0.0     6.0     0.0     0.0     0.0     0.0   100.0    16.0     5.0
     1.0     2.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0     9.0
     1.0     0.0     2.0    16.0    13.0     0.0   107.0     0.0     2.0     0.0
     0.0     0.0     8.0     0.0   119.0     9.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     2.0     8.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     6.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     1.0     0.0
     0.0     1.0     0.0     0.0     0.0     2.0     3.0     6.0     2.0     1.0
   257.0
650, , 6328
     1.0     0.0     4.0     0.0    15.0     2.0    10.0    76.0     0.0    13.0
     1.0     0.0     2.0     0.0     2.0     1.0     0.0   146.0    17.0    12.0
     4.0     1.0     8.0     1.0     0.0     0.0     2.0     1.0     0.0    18.0
     0.0     0.0     4.0    13.0    13.0     2.0   195.0     0.0     1.0     0.0
     1.0     1.0     2.0     0.0   113.0    10.0     0.0     1.0     0.0     0.0
     1.0     0.0     0.0     0.0     1.0     8.0     0.0     1.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     1.0     3.0
     0.0     1.0     0.0     0.0     0.0     3.0     6.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     4.0     9.0    10.0     2.0     2.0
   339.0
690, , 6626
     0.0     0.0     0.0     3.0    10.0     0.0    18.0    53.0     0.0     5.0
     5.0     0.0     1.0     1.0     3.0     1.0     0.0    93.0    12.0     4.0
     0.0     0.0     3.0     0.0     0.0     0.0     2.0     3.0     1.0     7.0
     0.0     2.0     1.0    11.0    12.0     0.0   176.0     0.0     0.0     1.0
     0.0     1.0     1.0     4.0    82.0    15.0     0.0     2.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     4.0     1.0     0.0     0.0     0.0     0.0     1.0     1.0
     0.0     3.0     0.0     0.0     0.0     0.0     3.0     0.0     2.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     4.0     4.0     2.0     0.0
   270.0
710, , 6774
