# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Anderson Pond
     1.0     0.0     1.0     0.0     1.0     0.0     0.0     3.0    11.0     0.0
     2.0     4.0     0.0    15.0     0.0     0.0   240.0     1.0     0.0     0.0
     0.0     0.0     0.0     7.0     3.0     0.0     0.0     0.0     5.0     0.0
     1.0     3.0     1.0     0.0     0.0     0.0    20.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0    30.0     0.0     0.0     0.0     0.0     0.0
    25.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     4.0     0.0     0.0     0.0     0.0     3.0     0.0     7.0     0.0     0.0
     4.0     1.0     0.0     0.0     1.0     8.0     1.0    46.0     0.0   290.0
92, , 3884
     0.0     0.0     2.0     0.0     0.0   273.0     0.0    28.0     6.0     0.0
    65.0     1.0     0.0     0.0     0.0     1.0     9.0     1.0    16.0     0.0
     1.0     0.0     2.0     0.0     4.0     0.0     0.0     1.0     6.0     0.0
     1.0     1.0     0.0     9.0     0.0     1.0   235.0     2.0     0.0     0.0
     0.0     0.0     0.0     1.0     3.0     0.0     0.0     0.0     3.0     0.0
     0.0     4.0     0.0     0.0     0.0     1.0    24.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0    25.0     0.0     0.0     0.0     0.0     0.0
    31.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     9.0     0.0     0.0     0.0     0.0     2.0     0.0     2.0     0.0     0.0
    13.0     3.0     0.0     0.0     2.0    19.0     0.0    55.0     1.0   167.0
96, , 4377
     0.0     0.0     2.0     0.0     0.0   278.0     0.0    17.0     3.0     0.0
    72.0     0.0     0.0     0.0     0.0     0.0     6.0     0.0    12.0     1.0
     1.0     0.0     1.0     0.0     2.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0     0.0    12.0     1.0     0.0   236.0    24.0     1.0     0.0
     0.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0     3.0     0.0
     0.0    11.0     0.0     0.0     0.0     0.0    17.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     4.0     0.0     0.0     0.0     0.0     0.0
    24.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     7.0     0.0     0.0     0.0     0.0     0.0     0.0     7.0     1.0     0.0
    12.0     0.0     0.0     0.0     1.0    28.0     6.0    85.0     1.0    16.0
100, , 4870
     0.0     0.0     3.0     0.0     0.0   391.0     7.0    17.0     7.0     0.0
    70.0     0.0     1.0     0.0     0.0     0.0    10.0     2.0    34.0     0.0
     0.0     0.0     2.0     0.0     4.0     0.0     0.0     3.0     3.0     0.0
     1.0     0.0     0.0    11.0     0.0     8.0   191.0     4.0     0.0     0.0
     0.0     0.0     0.0     3.0     1.0     0.0     0.0     0.0     0.0     0.0
     0.0     4.0     2.0     0.0     0.0     0.0    16.0     0.0     0.0     0.0
     1.0     0.0     4.0     0.0    14.0     0.0     0.0     0.0     0.0     0.0
    14.0     0.0     1.0     0.0     0.0     0.0     1.0     1.0     0.0     0.0
     9.0     0.0     0.0     0.0     0.0     1.0     0.0     4.0     1.0     0.0
     4.0     0.0     0.0     0.0    23.0    85.0     1.0   277.0     2.0    18.0
104, , 5363
     0.0     0.0     5.0     0.0     1.0   401.0    19.0    37.0     3.0     0.0
    35.0     0.0     0.0     0.0     0.0     5.0    10.0     0.0    30.0     0.0
     1.0     0.0     4.0     0.0     5.0     0.0     0.0     1.0     5.0     0.0
     2.0     2.0     0.0    12.0     0.0     0.0   159.0     3.0     0.0     0.0
     0.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0     3.0     1.0
     0.0    10.0     2.0     0.0     0.0     0.0    20.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0    16.0     2.0     0.0     0.0     0.0     0.0
    37.0     1.0     0.0     1.0     0.0     0.0     1.0     0.0     0.0     0.0
     3.0     0.0     0.0     0.0     0.0     0.0     0.0     6.0     1.0     0.0
    11.0     0.0     0.0     0.0    10.0   127.0     2.0   543.0     2.0    22.0
108, , 5941
     0.0     0.0     4.0     0.0     2.0   338.0     9.0    27.0     4.0     0.0
    20.0     0.0     0.0     0.0     0.0     3.0     4.0     7.0    22.0     0.0
     2.0     0.0     2.0     0.0     3.0     1.0     0.0     0.0    12.0     0.0
    10.0     0.0     0.0     5.0     0.0    16.0   164.0     5.0     0.0     0.0
     0.0     0.0     0.0     1.0     6.0     0.0     1.0     0.0     1.0     0.0
     0.0     6.0     0.0     0.0     0.0     0.0    27.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0    29.0     0.0     0.0     0.0     0.0     0.0
    20.0     1.0     1.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     2.0     0.0     5.0     3.0     0.0
     5.0     0.0     0.0     0.0    19.0    47.0     7.0   221.0     3.0    21.0
112, , 6605
     0.0     0.0     4.0     0.0     1.0   406.0    11.0    35.0    10.0     0.0
    41.0     1.0     1.0     0.0     0.0     3.0     7.0     0.0    17.0     0.0
     0.0     0.0     0.0     0.0     2.0     0.0     0.0     3.0     2.0     0.0
     2.0     1.0     0.0     9.0     0.0     0.0   202.0     1.0     0.0     0.0
     0.0     0.0     0.0     4.0     2.0     2.0     0.0     0.0     9.0     0.0
     0.0    13.0     7.0     0.0     0.0     0.0    23.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0    27.0     0.0     0.0     1.0     0.0     0.0
    25.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     1.0     0.0     4.0     0.0     5.0
     7.0     0.0     0.0     1.0    14.0    75.0     8.0   373.0     2.0    35.0
116, , 7270
     0.0     0.0     7.0     1.0     1.0   321.0     8.0    24.0     9.0     0.0
    51.0     1.0     0.0     0.0     0.0     4.0     0.0     0.0    52.0     0.0
     2.0     0.0     1.0     0.0    10.0     0.0     0.0     0.0     7.0     0.0
    10.0     0.0     0.0    11.0     0.0    11.0   141.0     0.0     0.0     0.0
     0.0     0.0     0.0     3.0     1.0     0.0     0.0     0.0     3.0     0.0
     0.0    10.0     5.0     0.0     0.0     0.0     7.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0    44.0     1.0     0.0     0.0     0.0     0.0
    28.0     2.0     0.0     2.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     1.0     2.0     0.0     4.0     1.0     0.0
     9.0     0.0     0.0     0.0    34.0    88.0     0.0   228.0     0.0    18.0
124, , 8597
     0.0     0.0     2.0     0.0     2.0   205.0     1.0    16.0     1.0     0.0
    34.0     1.0     0.0     0.0     0.0     6.0    11.0     0.0     9.0     0.0
     2.0     0.0     0.0     0.0     5.0     0.0     0.0     1.0    13.0     0.0
     6.0     1.0     0.0     8.0     2.0     1.0   223.0     0.0     0.0     0.0
     0.0     1.0     1.0     3.0     3.0     0.0     1.0     0.0     2.0     1.0
     0.0    14.0     0.0     0.0     0.0     0.0    20.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0    77.0     1.0     0.0     0.0     1.0     0.0
    16.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     5.0     1.0     1.0     0.0     0.0     2.0     1.0     6.0     0.0     0.0
     7.0     1.0     0.0     0.0     0.0    12.0     1.0    55.0     1.0    64.0
128, , 9230
     2.0     0.0     0.0     0.0     8.0     0.0     8.0    11.0     0.0     1.0
     0.0     0.0     2.0     0.0     0.0     3.0     8.0     2.0    16.0     1.0
     4.0     0.0     1.0     0.0     1.0     5.0     0.0     0.0    43.0     0.0
    22.0     0.0     0.0     5.0     0.0     0.0   152.0     0.0     1.0     0.0
     0.0     1.0     0.0     0.0     2.0     0.0     1.0     0.0     5.0     0.0
     0.0     1.0     4.0     0.0     0.0     1.0    16.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0   320.0     0.0     0.0     0.0     1.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     4.0     8.0     0.0     0.0     0.0     0.0
     6.0     0.0     0.0     0.0     0.0    12.0     0.0    60.0     1.0   116.0
132, , 9832
     0.0     0.0     0.0     0.0     2.0     5.0     1.0    15.0     0.0     0.0
     0.0     0.0     1.0     0.0     0.0     9.0    17.0     0.0     7.0     0.0
     3.0     1.0     0.0     0.0     0.0     0.0     1.0     0.0    57.0     0.0
    17.0     2.0     0.0     2.0     3.0     0.0   160.0     0.0     0.0     0.0
     0.0     1.0     0.0     2.0     4.0     0.0     2.0     0.0     2.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0    16.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0   293.0     0.0     0.0     0.0     3.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     2.0     0.0     0.0     1.0     8.0     0.0     1.0     0.0     0.0
     4.0     0.0     0.0     0.0     0.0     0.0     2.0    12.0     0.0   181.0
140, , 11035
     1.0     0.0     0.0     0.0     3.0     2.0     5.0     7.0     0.0     3.0
     0.0     0.0     2.0     0.0     0.0     1.0    13.0     0.0     5.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0    64.0     0.0
    28.0     2.0     0.0     6.0     1.0     0.0   157.0     1.0     0.0     0.0
     0.0     0.0     1.0     0.0     8.0     0.0     0.0     0.0     6.0     1.0
     0.0     9.0     0.0     0.0     0.0     0.0    10.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0    17.0     3.0     1.0     0.0     2.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     3.0    15.0     0.0     1.0     0.0     0.0
