# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Lac à Magie
     0.0     0.0     0.0     0.0     0.0     8.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0     8.0     0.0     0.0     0.0     1.0    48.0
     0.0     0.0     0.0     2.0     0.0     4.0     8.0     1.0     1.0     1.0
     1.0     0.0     4.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
   212.0     1.0     0.0     0.0     0.0     0.0     2.0    11.0     2.0   191.0
     3.0
833, , 9878
     1.0     0.0     0.0     0.0     2.0     4.0     1.0    61.0     0.0     1.0
     0.0     3.0     8.0     0.0     5.0     0.0     0.0     3.0     0.0     1.0
    13.0    53.0     0.0     7.0    29.0    22.0     0.0    15.0    44.0     0.0
     0.0     0.0     0.0    37.0     0.0    14.0     0.0     4.0     2.0     0.0
     2.0     0.0     0.0     2.0     0.0     0.0     0.0     1.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0    14.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0     9.0     0.0     0.0     0.0     0.0    64.0
     0.0     0.0     0.0     4.0     0.0    12.0    10.0     4.0     1.0     0.0
     0.0     0.0     2.0     0.0     1.0     1.0     0.0     0.0     0.0     0.0
   446.0     0.0     0.0     0.0     0.0     0.0     1.0     6.0     1.0   241.0
     3.0
836, , 9953
     1.0     0.0     1.0     0.0     3.0     3.0     2.0    46.0     0.0     1.0
     1.0     0.0    11.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0
     3.0    52.0     0.0     6.0    34.0    10.0     0.0    17.0    55.0     0.0
     0.0     0.0     0.0    35.0     0.0     7.0     1.0     2.0     0.0     0.0
     0.0     0.0     0.0     4.0     0.0     0.0     0.0     0.0     3.0     0.0
     0.0     0.0     0.0     0.0     0.0    10.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     5.0     0.0     0.0     0.0     0.0    39.0
     0.0     0.0     0.0     5.0     0.0    21.0     9.0     3.0     0.0     0.0
     0.0     0.0     4.0     0.0     1.0     1.0     0.0     0.0     0.0     0.0
   514.0     1.0     0.0     0.0     0.0     0.0     0.0    18.0     3.0   237.0
     3.0
838, , 10003
     3.0     0.0     0.0     0.0     3.0     2.0     6.0    79.0     0.0     1.0
     0.0     0.0    16.0     0.0    16.0     0.0     0.0     4.0     0.0     1.0
     1.0    48.0     0.0     4.0    18.0     7.0     0.0    20.0    54.0     0.0
     1.0     0.0     0.0    18.0     0.0    20.0     0.0     7.0     1.0     0.0
     0.0     0.0     0.0     4.0     1.0     0.0     0.0     0.0     7.0     0.0
     0.0     0.0     0.0     0.0     0.0    17.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     7.0     0.0     0.0     0.0     1.0    46.0
     0.0     1.0     0.0     4.0     0.0    19.0    28.0     6.0     0.0     0.0
     0.0     0.0     4.0     0.0     1.0     1.0     0.0     0.0     0.0     0.0
   910.0     0.0     0.0     0.0     0.0     0.0     4.0    23.0     1.0   235.0
     3.0
839, , 10028
     2.0     0.0     0.0     0.0     5.0     1.0     1.0    47.0     0.0     0.0
     0.0     0.0     3.0     0.0     5.0     0.0     0.0     1.0     0.0     0.0
     0.0    38.0     0.0     5.0    13.0    13.0     0.0    15.0    38.0     0.0
     0.0     0.0     0.0    13.0     0.0     9.0     0.0     4.0     2.0     0.0
     0.0     1.0     2.0     5.0     0.0     0.0     0.0     0.0     6.0     0.0
     0.0     0.0     0.0     0.0     0.0     9.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     1.0     0.0     1.0    55.0
     0.0     0.0     0.0     2.0     0.0    19.0    19.0     1.0     0.0     1.0
     1.0     0.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0
   823.0     1.0     0.0     0.0     0.0     1.0     0.0    14.0     3.0   200.0
     3.0
840, , 10053
     0.0     0.0     0.0     0.0    11.0     4.0     0.0    71.0     0.0     0.0
     0.0     0.0     3.0     0.0    15.0     0.0     0.0     2.0     0.0     0.0
     0.0    33.0     0.0     3.0    13.0    11.0     0.0    27.0    16.0     0.0
     0.0     0.0     0.0     4.0     0.0    12.0     0.0     1.0     0.0     0.0
     0.0     0.0     3.0     4.0     0.0     0.0     0.0     0.0    17.0     0.0
     1.0     0.0     0.0     0.0     0.0     7.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    30.0
     0.0     0.0     0.0     5.0     0.0    12.0     3.0     0.0     0.0     0.0
     0.0     0.0     4.0     0.0     0.0     5.0     0.0     0.0     0.0     0.0
   497.0     1.0     0.0     0.0     0.0     0.0     0.0    21.0     3.0   236.0
     3.0
841, , 10078
     2.0     0.0     0.0     0.0     5.0     5.0     6.0    68.0     0.0     0.0
     0.0     0.0     2.0     0.0    15.0     0.0     0.0     0.0     0.0     0.0
     1.0    51.0     0.0     6.0     5.0    18.0     0.0    26.0    17.0     0.0
     0.0     0.0     0.0     4.0     0.0     5.0     0.0     2.0     0.0     0.0
     1.0     1.0     1.0     8.0     0.0     0.0     0.0     0.0    26.0     0.0
     0.0     0.0     0.0     0.0     0.0     5.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    81.0
     0.0     0.0     0.0     9.0     0.0    26.0     5.0     2.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0
   297.0     0.0     0.0     0.0     0.0     0.0     0.0    26.0     2.0   354.0
     3.0
842, , 10103
     1.0     0.0     0.0     0.0    14.0     3.0     2.0    67.0     1.0     1.0
     0.0     1.0     0.0     0.0    12.0     0.0     0.0     0.0     0.0     0.0
     0.0    37.0     0.0     6.0     8.0    13.0     0.0    14.0    25.0     0.0
     0.0     0.0     0.0     0.0     0.0     7.0     0.0     0.0     0.0     0.0
     0.0     1.0     1.0    10.0     0.0     0.0     0.0     0.0    11.0     0.0
     0.0     0.0     0.0     0.0     0.0    13.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    51.0
     0.0     1.0     0.0     3.0     0.0    14.0     2.0     4.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     4.0     0.0     0.0     0.0     0.0
   237.0     0.0     0.0     0.0     0.0     0.0     0.0    31.0     0.0   262.0
     3.0
844, , 10157
     2.0     0.0     0.0     0.0     6.0     3.0     3.0    55.0     0.0     0.0
     0.0     0.0     0.0     1.0    10.0     0.0     0.0     0.0     0.0     0.0
     1.0    40.0     0.0     3.0     5.0    14.0     0.0    20.0    33.0     0.0
     2.0     0.0     0.0     1.0     0.0     8.0     0.0     0.0     0.0     0.0
     2.0     0.0     3.0     8.0     0.0     0.0     0.0     0.0    15.0     0.0
     0.0     0.0     0.0     0.0     0.0    10.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0    68.0
     0.0     0.0     0.0     7.0     2.0    19.0     4.0     8.0     0.0     0.0
     0.0     0.0     0.0     0.0     5.0     3.0     0.0     0.0     0.0     0.0
   294.0     0.0     0.0     0.0     0.0     0.0     0.0    20.0     2.0   304.0
     3.0
846, , 10211
     0.0     0.0     0.0     0.0     6.0     5.0     2.0    52.0     1.0     0.0
     0.0     0.0     0.0     0.0     7.0     0.0     0.0     0.0     0.0     0.0
     0.0    49.0     0.0     3.0     8.0     8.0     0.0    15.0    27.0     0.0
     0.0     0.0     0.0     1.0     0.0    10.0     0.0     0.0     0.0     0.0
     1.0     1.0     1.0    10.0     0.0     0.0     0.0     0.0    19.0     0.0
     0.0     0.0     0.0     0.0     0.0     6.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    65.0
     0.0     0.0     0.0    10.0     2.0    18.0     5.0     2.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
   256.0     0.0     0.0     0.0     0.0     0.0     0.0    22.0     3.0   224.0
     3.0
848, , 10265
