     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0
     3.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0    14.0    54.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    10.0     1.0     0.0     0.0
   211.0
240, , 5166
     0.0     3.0     0.0     0.0     0.0     1.0    15.0     0.0     2.0     0.0
     0.0     1.0     0.0     1.0     0.0     0.0     0.0     0.0     1.0     0.0
    23.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     2.0     1.0     1.0     2.0     5.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0    12.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     6.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     1.0     0.0     2.0     0.0     0.0     0.0
    78.0
280, , 5539
     0.0    11.0     0.0     0.0     0.0     0.0    21.0     0.0     5.0     1.0
     0.0     0.0     0.0     1.0     0.0     0.0     0.0     2.0     0.0     1.0
     2.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     1.0
     0.0     0.0     4.0     1.0     0.0    12.0     0.0     3.0     0.0     0.0
     0.0     0.0     1.0     0.0    14.0     2.0     1.0     0.0     0.0     0.0
     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     2.0     0.0     1.0     4.0     2.0     0.0     4.0    12.0
    73.0
320, , 5912
     0.0     0.0     0.0     0.0     0.0     2.0   106.0     0.0    11.0     1.0
     0.0    14.0     0.0     0.0     0.0     0.0     0.0    12.0     0.0     0.0
     3.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     2.0     5.0     0.0     0.0    28.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0    20.0     0.0     0.0     0.0     0.0     0.0
     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     7.0
     4.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     2.0     0.0     2.0     6.0     6.0     2.0     0.0    33.0
   123.0
340, , 6093
     0.0     4.0     0.0     0.0     0.0     2.0    15.0     0.0     2.0     0.0
     0.0     2.0     0.0     0.0     0.0     1.0     0.0     4.0     0.0     1.0
     1.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     1.0     1.0
     0.0     0.0     5.0     0.0     0.0     7.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     7.0     1.0     0.0     0.0     0.0     0.0
     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     2.0     0.0     2.0     3.0     3.0     0.0     0.0     2.0
    52.0
360, , 6223
     0.0     2.0     0.0     0.0     0.0     1.0    62.0     0.0    13.0     1.0
     0.0     6.0     0.0     0.0     0.0     0.0     0.0    13.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0
     0.0     2.0    10.0     1.0     0.0    29.0     0.0     4.0     0.0     0.0
     0.0     0.0     0.0     0.0    13.0     1.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     1.0     3.0     0.0
     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0
     0.0     0.0     2.0     0.0     0.0     1.0     0.0     1.0     0.0     2.0
   116.0
380, , 6353
     0.0     2.0     0.0     0.0     0.0     2.0    54.0     0.0     4.0     0.0
     0.0     2.0     0.0     0.0     0.0     0.0     1.0     7.0     0.0     1.0
     2.0     0.0     0.0     1.0     0.0     0.0     1.0     0.0     0.0     1.0
     0.0     2.0    12.0     0.0     0.0    17.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0    12.0     2.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
