# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Burden Lake
     0.0     0.0     0.0     7.0     0.0    42.0     6.0     5.0     1.0     0.0
     6.0     0.0     0.0     0.0     0.0     0.0     0.0    12.0     2.0     0.0
     2.0    29.0     4.0     2.0   157.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     4.0     4.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0     1.0     5.0     2.0     2.0   211.0
480, , 4360
     0.0     0.0     7.0     5.0    15.0     0.0    26.0    65.0    28.0     1.0
     0.0     0.0     1.0     4.0     1.0    70.0     6.0    11.0     0.0     2.0
     3.0     1.0     0.0     0.0     0.0     0.0     2.0    21.0     0.0     4.0
     5.0    38.0     5.0     3.0   232.0     1.0     0.0     0.0     1.0     0.0
     0.0     0.0     0.0     1.0    18.0    13.0     0.0     1.0     2.0     1.0
     1.0     0.0     0.0     4.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     4.0     0.0     1.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     1.0     0.0     2.0     2.0     1.0     0.0   331.0
520, , 4611
     0.0     0.0     4.0     0.0    17.0     0.0    25.0    49.0    20.0     3.0
     0.0     0.0     1.0    19.0     0.0    67.0     7.0     8.0     1.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     1.0    15.0     1.0     0.0
     1.0    36.0     5.0     3.0   168.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     4.0    26.0     7.0     0.0     1.0     1.0     1.0
     0.0     0.0     0.0     3.0     1.0     0.0     1.0     0.0     2.0     0.0
     1.0     1.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     2.0     2.0     1.0     0.0     0.0     0.0     0.0     1.0     1.0
     0.0     0.0     0.0     0.0     3.0     3.0     2.0     1.0   272.0
540, , 4684
     0.0     0.0     1.0     0.0    12.0     1.0     9.0    40.0    13.0     0.0
     0.0     1.0     1.0     2.0     0.0    62.0     9.0     6.0     0.0     0.0
