# GPD ASCII Format
# 25 Mar 00
# Raw Counts - All Pollen Types
#
# *********************************************************
# ** Please acknowledge the contributors and the African **
# ** Pollen Database when using these data.              **
# *********************************************************
#
# Site name:      Rusaka Swamp
     0.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0    11.0     0.0     0.0     5.0     0.0     0.0     1.0
     0.0    33.0     0.0     0.0    20.0     0.0     2.0     1.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
    85.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0    12.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     2.0     0.0    60.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     2.0     1.0     1.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     7.0     0.0     0.0     0.0    33.0    18.0     0.0     4.0
     0.0     0.0     1.0     0.0     0.0    32.0   101.0     4.0     0.0
125, , 1223
     0.0     0.0     0.0     0.0     5.0     0.0     0.0     0.0    44.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     5.0     0.0     0.0     1.0
     0.0     0.0     0.0     1.0     0.0     2.0     0.0     0.0     0.0     2.0
     0.0     0.0     1.0     0.0     1.0     5.0     0.0     8.0     1.0     2.0
     0.0     0.0     0.0     0.0     0.0    57.0     0.0     2.0     0.0    11.0
     6.0     0.0     1.0    20.0     0.0     1.0     0.0     3.0     3.0     0.0
     7.0     4.0     0.0     0.0     0.0     0.0     0.0     8.0     2.0     0.0
     0.0    10.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     2.0
     0.0     0.0     6.0     9.0     0.0     0.0     7.0     0.0     1.0     5.0
     0.0    10.0     0.0     0.0    39.0     0.0     4.0     3.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0
    33.0     0.0     0.0     0.0     0.0     0.0     1.0     2.0     0.0     0.0
     0.0     0.0     0.0    10.0     0.0     0.0    14.0     0.0     0.0     0.0
     0.0     5.0     0.0     0.0     0.0     2.0     0.0    45.0     0.0     0.0
     0.0     0.0     0.0     0.0     1.0     3.0     1.0     0.0     0.0     0.0
     1.0     0.0     0.0     1.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0    15.0     0.0     0.0     0.0    12.0     5.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0    43.0    16.0     7.0     0.0
134, , 1278
     0.0     0.0     0.0     0.0     4.0     1.0     2.0     0.0    32.0     0.0
     1.0     0.0     0.0     0.0     1.0     0.0     4.0     0.0     0.0     2.0
     0.0     0.0     0.0     1.0     0.0     2.0     0.0     1.0     0.0     0.0
     0.0     0.0     2.0     0.0     0.0     3.0     0.0     9.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0   107.0     0.0     0.0     0.0     4.0
    15.0     0.0     0.0    22.0     0.0     1.0     0.0     1.0    16.0     0.0
     1.0     1.0     1.0     0.0     0.0     0.0     0.0     6.0     0.0     0.0
     0.0     8.0     1.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     5.0     9.0     0.0     1.0    14.0     0.0     0.0     0.0
     0.0    34.0     0.0     0.0    29.0     0.0     4.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
    54.0     0.0     0.0     1.0     0.0     0.0     0.0     8.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     5.0     0.0     0.0     0.0
     0.0     2.0     0.0     0.0     0.0     3.0     0.0    47.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     6.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0    17.0     0.0     0.0     0.0    16.0     0.0     0.0     6.0
     0.0     0.0     0.0     0.0     0.0    14.0    19.0    27.0     0.0
145, , 1345
     0.0     0.0     0.0     0.0     3.0     0.0     3.0     0.0    22.0     0.0
     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0     1.0     1.0     0.0     0.0     0.0    15.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0    39.0     1.0     0.0     0.0     1.0
     5.0     0.0     3.0    27.0     0.0     1.0     0.0     7.0     8.0     0.0
     5.0     4.0     3.0     0.0     0.0     1.0     0.0     4.0     1.0     0.0
     1.0    11.0     0.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0
     0.0     0.0     2.0    12.0     0.0     0.0     2.0     0.0     0.0     2.0
     0.0    17.0     0.0     1.0    24.0     0.0     1.0     5.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   107.0     0.0     0.0     1.0     0.0     0.0     0.0     3.0     1.0     0.0
     0.0     0.0     0.0     0.0     2.0     0.0    18.0     0.0     0.0     0.0
     0.0     1.0     1.0     0.0     0.0     0.0     0.0    50.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     3.0     0.0     1.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     9.0     0.0     0.0     1.0    18.0     6.0     1.0     3.0
     0.0     0.0     0.0     1.0     0.0    57.0    18.0     8.0     0.0
155, , 1406
     0.0     0.0     0.0     0.0    13.0     0.0     1.0     0.0    17.0     0.0
     1.0     0.0     0.0     0.0     0.0     1.0     1.0     0.0     3.0     0.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     1.0     0.0     0.0
     0.0     0.0     2.0     0.0     0.0     2.0     0.0     2.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0    36.0     0.0     0.0     0.0     1.0
    11.0     0.0     0.0    16.0     0.0     2.0     0.0     4.0     4.0     0.0
     5.0     2.0     0.0     0.0     0.0     0.0     0.0     6.0     0.0     0.0
     0.0     4.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
