# GPD ASCII Format
# 25 Mar 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Poland Spring Pond
     0.0     0.0     0.0     4.0     0.0    10.0     0.0     2.0     5.0     0.0
    82.0     2.0     1.0     1.0     0.0     0.0     3.0     0.0     0.0   117.0
     0.0     7.0     4.0     0.0     2.0     0.0     0.0     0.0     1.0    21.0
     2.0     2.0    82.0    33.0     2.0     0.0    60.0     0.0     0.0     0.0
     3.0    65.0     5.0     0.0     0.0     0.0     5.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     0.0     1.0     0.0     0.0     1.0     0.0     4.0     0.0
   259.0     5.0 10850.0      .5
620, , 3578
     0.0     0.0     0.0     7.0     1.0    18.0     0.0     4.0     2.0     0.0
   110.0     1.0     1.0     0.0     0.0     0.0    10.0     0.0     0.0    70.0
     0.0     8.0     1.0     0.0     0.0     0.0     0.0     1.0     0.0    14.0
     0.0     0.0   144.0     3.0     0.0     0.0   109.0     0.0     1.0     0.0
     2.0    42.0     4.0     1.0     0.0     1.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     2.0     0.0     4.0     2.0     1.0     5.0
   222.0     5.0 10850.0      .5
640, , 3839
     0.0     0.0     0.0     8.0     0.0    11.0     0.0     3.0     1.0     0.0
   111.0     1.0     1.0     0.0     4.0     0.0     6.0     0.0     0.0    77.0
     0.0     8.0     1.0     1.0     1.0     0.0     0.0     0.0     0.0    23.0
     1.0     0.0   117.0     4.0     0.0     0.0   136.0     0.0     0.0     0.0
     0.0    20.0     3.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0
     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     2.0
     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     6.0
   177.0     5.0 10850.0      .5
660, , 4100
     0.0     0.0     0.0     4.0     0.0    12.0     0.0     4.0     1.0     0.0
   215.0     0.0     1.0     1.0     3.0     0.0     8.0     1.0     0.0    93.0
     0.0     8.0     5.0     0.0     0.0     0.0     0.0     0.0     0.0    13.0
     1.0     1.0    58.0    73.0     2.0     0.0   219.0     0.0     0.0     0.0
     0.0     5.0     9.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0
     2.0     2.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     3.0     0.0     7.0     0.0     2.0     5.0
   202.0     5.0 10850.0      .5
680, , 4361
     0.0     0.0     1.0     2.0     0.0     5.0     0.0     1.0     1.0     0.0
    65.0     1.0     0.0     0.0     1.0     0.0    16.0     0.0     0.0    61.0
     0.0     8.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0     7.0
     0.0     6.0    36.0    52.0     1.0     0.0    72.0     1.0     0.0     0.0
     0.0    20.0     3.0     0.0     0.0     1.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     0.0     1.0     1.0     0.0     3.0     0.0     1.0     1.0
   150.0     5.0 10850.0      .5
700, , 4622
     0.0     0.0     0.0     1.0     0.0    13.0     0.0     3.0     1.0     0.0
   115.0     1.0     0.0     0.0     2.0     0.0     6.0     0.0     0.0    69.0
     0.0    12.0     0.0     1.0     0.0     0.0     0.0     0.0     2.0    17.0
     0.0     3.0    60.0     9.0     0.0     0.0    49.0     1.0     0.0     0.0
     0.0    43.0     2.0     1.0     0.0     0.0     2.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     2.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0     6.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     6.0     0.0     4.0     2.0     2.0     6.0
   208.0     5.0 10850.0      .5
720, , 4862
     0.0     0.0     0.0     4.0     0.0    12.0     1.0     1.0     0.0     0.0
    63.0     1.0     0.0     2.0     0.0     0.0     8.0     0.0     0.0    37.0
     0.0     7.0     4.0     1.0     0.0     0.0     0.0     0.0     0.0     6.0
     1.0     0.0   136.0     0.0     2.0     0.0    87.0     0.0     1.0     0.0
     0.0    60.0     9.0     1.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     2.0     0.0     2.0     0.0     1.0     6.0
   205.0     5.0 10850.0      .5
740, , 4959
